Commune ou section	Commune	Code postal	Population	Bureau de poste	Iles	Ile	Archipel	Commune Associée	Commune - Ile - Code Postal	Code Postal - Commune - Ile
ARUE	Arue	98701	9537	ARUE	TAHITI	Tahiti	Iles Du Vent		Arue - Tahiti - 98701	98701 - Arue - Tahiti
TETIAROA	Tetiaroa	98701			TETIAROA	Tetiaroa	Iles Du Vent	Arue	Tetiaroa - 98701	98701 - Tetiaroa
Faaa (B.P. & P.R.)	Faaa (B.P. & P.R.)	98702	29687	FAA'A CENTRE	TAHITI	Tahiti	Iles Du Vent		Faaa (B.P. & P.R.) - Tahiti - 98702	98702 - Faaa (B.P. & P.R.) - Tahiti
PUNAAUIA CENTRE	Punaauia Centre	98703	27613	PUNAAUIA CENTRE	TAHITI	Tahiti	Iles Du Vent		Punaauia Centre - Tahiti - 98703	98703 - Punaauia Centre - Tahiti
Faaa (domicile)	Faaa (Domicile)	98704	29687	FAA'A CENTRE	TAHITI	Tahiti	Iles Du Vent		Faaa (Domicile) - Tahiti - 98704	98704 - Faaa (Domicile) - Tahiti
HITIAA O TE RA	Hitiaa O Te Ra	98705		HITIAA O TE RA	TAHITI	Tahiti	Iles Du Vent		Hitiaa O Te Ra - Tahiti - 98705	98705 - Hitiaa O Te Ra - Tahiti
MAHAENA	Mahaena	98706		HITIAA O TE RA	TAHITI	Tahiti	Iles Du Vent		Mahaena - Tahiti - 98706	98706 - Mahaena - Tahiti
PAPENOO	Papenoo	98707		HITIAA O TE RA	TAHITI	Tahiti	Iles Du Vent		Papenoo - Tahiti - 98707	98707 - Papenoo - Tahiti
TIAREI	Tiarei	98708		HITIAA O TE RA	TAHITI	Tahiti	Iles Du Vent		Tiarei - Tahiti - 98708	98708 - Tiarei - Tahiti
MAHINA	Mahina	98709	14351	MAHINA	TAHITI	Tahiti	Iles Du Vent		Mahina - Tahiti - 98709	98709 - Mahina - Tahiti
OROFARA (Village)	Orofara (Village)	98710		MAHINA	TAHITI	Tahiti	Iles Du Vent		Orofara (Village) - Tahiti - 98710	98710 - Orofara (Village) - Tahiti
PAEA	Paea	98711	12541	PAEA	TAHITI	Tahiti	Iles Du Vent		Paea - Tahiti - 98711	98711 - Paea - Tahiti
PAPARA	Papara	98712	11143	PAPARA	TAHITI	Tahiti	Iles Du Vent		Papara - Tahiti - 98712	98712 - Papara - Tahiti
PAPEETE (B.P. & P.R.)	Papeete (B.P. & P.R.)	98713	25769	PAPEETE-R.P	TAHITI	Tahiti	Iles Du Vent		Papeete (B.P. & P.R.) - Tahiti - 98713	98713 - Papeete (B.P. & P.R.) - Tahiti
PAPEETE (domicile)	Papeete (Domicile)	98714	25769	PAPEETE RP	TAHITI	Tahiti	Iles Du Vent		Papeete (Domicile) - Tahiti - 98714	98714 - Papeete (Domicile) - Tahiti
PAPEETE-C.T.C. (B.P. & P.R.)	Papeete-C.T.C. (B.P. & P.R.)	98715	25769	PAPEETE-C.T.C.	TAHITI	Tahiti	Iles Du Vent		Papeete-C.T.C. (B.P. & P.R.) - Tahiti - 98715	98715 - Papeete-C.T.C. (B.P. & P.R.) - Tahiti
PIRAE	Pirae	98716	14129	PIRAE	TAHITI	Tahiti	Iles Du Vent		Pirae - Tahiti - 98716	98716 - Pirae - Tahiti
PUNAAUIA (B.P.13000&'I30000)	Punaauia (B.P.13000&'I30000)	98717	27613	MOANA NUI	TAHITI	Tahiti	Iles Du Vent		Punaauia (B.P.13000&'I30000) - Tahiti - 98717	98717 - Punaauia (B.P.13000&'I30000) - Tahiti
PUNAAUIA (B.P. 380000 ss)	Punaauia (B.P. 380000 Ss)	98718	27613	TAMANU	TAHITI	Tahiti	Iles Du Vent		Punaauia (B.P. 380000 Ss) - Tahiti - 98718	98718 - Punaauia (B.P. 380000 Ss) - Tahiti
AFAAHITI	Afaahiti	98719			TAHITI	Tahiti	Iles Du Vent	Afaahiti	Afaahiti - Tahiti - 98719	98719 - Afaahiti - Tahiti
TARAVAO	Taravao	98719			TAHITI	Tahiti	Iles Du Vent		Taravao - Tahiti - 98719	98719 - Taravao - Tahiti
FAAONE	Faaone	98720			TAHITI	Tahiti	Iles Du Vent	Faaone	Faaone - Tahiti - 98720	98720 - Faaone - Tahiti
PUEU	Pueu	98721			TAHITI	Tahiti	Iles Du Vent	Pueu	Pueu - Tahiti - 98721	98721 - Pueu - Tahiti
MEHETIA	Mehetia	98722			MEHETIA	Mehetia	Iles Du Vent	Tautira	Mehetia - 98722	98722 - Mehetia
TAUTIRA	Tautira	98722			TAHITI	Tahiti	Iles Du Vent	Tautira	Tautira - Tahiti - 98722	98722 - Tautira - Tahiti
TEAHUPOO	Teahupoo	98723		TARAVAO	TAHITI	Tahiti	Iles Du Vent		Teahupoo - Tahiti - 98723	98723 - Teahupoo - Tahiti
TOAHOTU	Toahotu	98724			TAHITI	Tahiti	Iles Du Vent	Toahotu	Toahotu - Tahiti - 98724	98724 - Toahotu - Tahiti
VAIRAO	Vairao	98725		TARAVAO	TAHITI	Tahiti	Iles Du Vent		Vairao - Tahiti - 98725	98725 - Vairao - Tahiti
MATAIEA	Mataiea	98726			TAHITI	Tahiti	Iles Du Vent	Mataiea	Mataiea - Tahiti - 98726	98726 - Mataiea - Tahiti
PAPEARI	Papeari	98727			TAHITI	Tahiti	Iles Du Vent	Papeari	Papeari - Tahiti - 98727	98727 - Papeari - Tahiti
MOOREA-MAIAO/AFAREAITU	Afareaitu	98728		MAHAREPA	MOOREA	Moorea	Iles Du Vent		Afareaitu - Moorea - 98728	98728 - Afareaitu - Moorea
HAUMI	Haumi	98728		MAHAREPA	MOOREA	Moorea			Haumi - Moorea - 98728	98728 - Haumi - Moorea
MAATEA	Maatea	98728		MAHAREPA	MOOREA	Moorea			Maatea - Moorea - 98728	98728 - Maatea - Moorea
MAHAREPA	Maharepa	98728			MOOREA	Moorea	Iles Du Vent		Maharepa - Moorea - 98728	98728 - Maharepa - Moorea
MOOREA-MAIAO/PAOPAO	Paopao	98728		MAHAREPA	MOOREA	Moorea	Iles Du Vent		Paopao - Moorea - 98728	98728 - Paopao - Moorea
